,0
0,97
1,91
2,90
3,89
4,86
5,85
6,80
7,714
8,712
9,710
10,709
11,706
12,702
13,702
14,700
15,77
16,76
17,75
18,75
19,71
20,70
21,698
22,697
23,697
24,697
25,695
26,694
27,693
28,692
29,692
30,692
31,692
32,691
33,691
34,691
35,690
36,690
37,690
38,690
39,688
40,688
41,687
42,687
43,686
44,685
45,685
46,685
47,685
48,685
49,684
50,683
51,683
52,683
53,683
54,683
55,683
56,682
57,682
58,682
59,682
60,681
61,681
62,681
63,681
64,681
65,680
66,680
67,680
68,680
69,679
70,679
71,679
72,679
73,678
74,678
75,678
76,678
77,678
78,678
79,677
80,677
81,676
82,676
83,676
84,676
85,676
86,676
87,676
88,676
89,676
90,675
91,675
92,675
93,675
94,675
95,674
96,674
97,674
98,673
99,673
100,673
101,673
102,672
103,672
104,672
105,672
106,672
107,672
108,672
109,672
110,672
111,672
112,672
113,671
114,671
115,671
116,671
117,671
118,671
119,671
120,671
121,671
122,671
123,671
124,670
125,670
126,670
127,670
128,670
129,670
130,670
131,670
132,670
133,670
134,670
135,669
136,669
137,669
138,668
139,668
140,668
141,668
142,668
143,668
144,668
145,668
146,667
147,667
148,667
149,667
150,667
151,667
152,667
153,667
154,667
155,667
156,667
157,667
158,667
159,667
160,667
161,667
162,666
163,666
164,666
165,666
166,666
167,666
168,666
169,666
170,666
171,666
172,666
173,666
174,666
175,665
176,665
177,665
178,665
179,665
180,665
181,665
182,665
183,665
184,665
185,665
186,665
187,665
188,665
189,665
190,665
191,665
192,665
193,665
194,665
195,665
196,664
197,664
198,664
199,664
200,664
201,664
202,664
203,664
204,664
205,663
206,663
207,663
208,663
209,663
210,662
211,662
212,662
213,662
214,662
215,662
216,662
217,662
218,662
219,662
220,661
221,661
222,661
223,661
224,661
225,661
226,661
227,661
228,661
229,660
230,660
231,660
232,660
233,660
234,660
235,660
236,660
237,660
238,660
239,660
240,660
241,660
242,660
243,660
244,660
245,660
246,660
247,660
248,660
249,660
250,659
251,659
252,659
253,659
254,659
255,659
256,658
257,658
258,658
259,658
260,658
261,658
262,658
263,658
264,658
265,658
266,658
267,658
268,658
269,658
270,658
271,657
272,657
273,657
274,657
275,657
276,657
277,657
278,657
279,657
280,657
281,657
282,656
283,656
284,656
285,656
286,656
287,656
288,656
289,656
290,656
291,656
292,656
293,656
294,656
295,656
296,656
297,656
298,656
299,656
300,656
301,656
302,655
303,655
304,655
305,655
306,655
307,655
308,655
309,655
310,655
311,655
312,655
313,655
314,655
315,655
316,655
317,655
318,655
319,655
320,655
321,655
322,655
323,654
324,654
325,654
326,654
327,653
328,653
329,653
330,653
331,653
332,653
333,653
334,653
335,653
336,652
337,652
338,652
339,652
340,652
341,652
342,652
343,652
344,652
345,652
346,652
347,652
348,652
349,652
350,652
351,652
352,651
353,651
354,651
355,651
356,651
357,651
358,651
359,651
360,651
361,651
362,651
363,651
364,651
365,651
366,650
367,650
368,650
369,650
370,650
371,650
372,650
373,650
374,650
375,650
376,650
377,650
378,650
379,650
380,650
381,650
382,650
383,650
384,650
385,650
386,650
387,650
388,650
389,650
390,650
391,650
392,650
393,650
394,650
395,650
396,650
397,650
398,650
399,650
400,650
401,649
402,649
403,649
404,649
405,649
406,649
407,649
408,649
409,649
410,649
411,649
412,649
413,649
414,649
415,648
416,648
417,648
418,648
419,648
420,648
421,648
422,648
423,648
424,648
425,648
426,648
427,648
428,648
429,648
430,648
431,648
432,648
433,648
434,648
435,648
436,648
437,648
438,647
439,647
440,647
441,647
442,647
443,647
444,647
445,647
446,647
447,647
448,647
449,647
450,647
451,647
452,647
453,647
454,647
455,647
456,647
457,647
458,646
459,646
460,646
461,646
462,646
463,646
464,646
465,646
466,646
467,646
468,646
469,646
470,646
471,646
472,646
473,646
474,646
475,646
476,646
477,646
478,646
479,646
480,646
481,646
482,646
483,646
484,646
485,646
486,646
487,646
488,646
489,645
490,645
491,645
492,645
493,645
494,645
495,645
496,645
497,645
498,645
499,645
500,645
501,645
502,645
503,645
504,645
505,645
506,645
507,645
508,645
509,645
510,645
511,645
512,645
513,645
514,645
515,645
516,645
517,645
518,645
519,645
520,645
521,645
522,645
523,645
524,644
525,644
526,644
527,644
528,644
529,644
530,644
531,644
532,644
533,644
534,643
535,643
536,643
537,643
538,643
539,643
540,643
541,643
542,643
543,643
544,643
545,643
546,643
547,643
548,643
549,643
550,643
551,643
552,643
553,643
554,643
555,643
556,643
557,643
558,643
559,643
560,642
561,642
562,642
563,642
564,642
565,642
566,642
567,642
568,642
569,642
570,642
571,642
572,642
573,642
574,642
575,642
576,642
577,642
578,642
579,641
580,641
581,641
582,641
583,641
584,641
585,641
586,641
587,641
588,641
589,641
590,641
591,641
592,641
593,641
594,641
595,641
596,641
597,641
598,641
599,641
600,641
601,641
602,641
603,641
604,641
605,641
606,641
607,641
608,641
609,641
610,641
611,641
612,641
613,641
614,641
615,641
616,641
617,640
618,640
619,640
620,640
621,640
622,640
623,640
624,640
625,640
626,640
627,640
628,640
629,640
630,640
631,640
632,640
633,640
634,640
635,640
636,640
637,640
638,640
639,640
640,640
641,640
642,640
643,640
644,640
645,640
646,640
647,640
648,640
649,640
650,640
651,640
652,640
653,640
654,640
655,640
656,640
657,640
658,640
659,640
660,640
661,640
662,640
663,640
664,640
665,640
666,640
667,640
668,640
669,639
670,639
671,639
672,639
673,639
674,639
675,639
676,639
677,639
678,639
679,639
680,639
681,639
682,639
683,639
684,639
685,639
686,639
687,639
688,639
689,639
690,639
691,639
692,639
693,639
694,639
695,639
696,639
697,638
698,638
699,638
700,638
701,638
702,638
703,638
704,638
705,638
706,638
707,638
708,638
709,638
710,638
711,638
712,638
713,638
714,638
715,638
716,638
717,638
718,638
719,638
720,638
721,638
722,638
723,638
724,637
725,637
726,637
727,637
728,637
729,637
730,637
731,637
732,637
733,637
734,637
735,637
736,637
737,637
738,637
739,637
740,637
741,637
742,637
743,637
744,637
745,637
746,637
747,637
748,637
749,637
750,637
751,637
752,636
753,636
754,636
755,636
756,636
757,636
758,636
759,636
760,636
761,636
762,636
763,636
764,636
765,636
766,636
767,636
768,636
769,636
770,636
771,636
772,636
773,636
774,636
775,636
776,636
777,636
778,635
779,635
780,635
781,635
782,635
783,635
784,635
785,635
786,635
787,635
788,635
789,635
790,635
791,635
792,635
793,635
794,635
795,635
796,635
797,635
798,635
799,635
800,635
801,635
802,635
803,635
804,635
805,635
806,635
807,635
808,635
809,635
810,635
811,635
812,635
813,635
814,635
815,635
816,635
817,635
818,635
819,635
820,635
821,635
822,635
823,635
824,635
825,635
826,635
827,635
828,635
829,635
830,635
831,635
832,635
833,635
834,635
835,635
836,635
837,634
838,634
839,634
840,634
841,634
842,634
843,634
844,634
845,634
846,634
847,634
848,634
849,634
850,634
851,634
852,634
853,634
854,634
855,634
856,634
857,634
858,634
859,634
860,634
861,634
862,634
863,634
864,634
865,633
866,633
867,633
868,633
869,633
870,633
871,633
872,633
873,633
874,633
875,633
876,633
877,633
878,633
879,633
880,633
881,633
882,633
883,633
884,633
885,633
886,633
887,633
888,633
889,633
890,633
891,633
892,633
893,633
894,633
895,633
896,633
897,633
898,632
899,632
900,632
901,632
902,632
903,632
904,632
905,632
906,632
907,632
908,632
909,632
910,632
911,632
912,632
913,632
914,632
915,632
916,632
917,632
918,632
919,632
920,632
921,632
922,632
923,632
924,632
925,632
926,632
927,632
928,632
929,632
930,632
931,632
932,632
933,632
934,632
935,632
936,632
937,631
938,631
939,631
940,631
941,631
942,631
943,631
944,631
945,631
946,631
947,631
948,631
949,631
950,631
951,631
952,631
953,631
954,631
955,631
956,631
957,631
958,631
959,631
960,631
961,631
962,631
963,631
964,631
965,631
966,631
967,631
968,631
969,631
970,631
971,631
972,631
973,631
974,631
975,631
976,631
977,631
978,631
979,631
980,631
981,631
982,631
983,631
984,630
985,630
986,630
987,630
988,630
989,630
990,630
991,630
992,630
993,630
994,630
995,630
996,630
997,630
998,630
999,630
1000,630
1001,630
1002,630
1003,630
1004,630
1005,630
1006,630
1007,630
1008,630
1009,630
1010,630
1011,630
1012,630
1013,630
1014,630
1015,630
1016,630
1017,630
1018,630
1019,630
1020,630
1021,630
1022,630
1023,630
1024,630
1025,630
1026,630
1027,630
1028,630
1029,630
1030,630
1031,630
1032,630
1033,630
1034,630
1035,630
1036,630
1037,629
1038,629
1039,629
1040,629
1041,629
1042,629
1043,629
1044,629
1045,629
1046,629
1047,629
1048,629
1049,629
1050,629
1051,629
1052,629
1053,629
1054,629
1055,629
1056,629
1057,629
1058,629
1059,629
1060,629
1061,628
1062,628
1063,628
1064,628
1065,628
1066,628
1067,628
1068,628
1069,628
1070,628
1071,628
1072,628
1073,628
1074,628
1075,628
1076,628
1077,628
1078,628
1079,628
1080,628
1081,628
1082,628
1083,628
1084,628
1085,628
1086,628
1087,628
1088,628
1089,628
1090,628
1091,628
1092,628
1093,628
1094,628
1095,628
1096,628
1097,628
1098,628
1099,628
1100,628
1101,628
1102,627
1103,627
1104,627
1105,627
1106,627
1107,627
1108,627
1109,627
1110,627
1111,627
1112,627
1113,627
1114,627
1115,627
1116,627
1117,627
1118,627
1119,627
1120,627
1121,627
1122,627
1123,627
1124,627
1125,627
1126,627
1127,627
1128,627
1129,627
1130,627
1131,627
1132,627
1133,627
1134,627
1135,627
1136,627
1137,627
1138,627
1139,627
1140,626
1141,626
1142,626
1143,626
1144,626
1145,626
1146,626
1147,626
1148,626
1149,626
1150,626
1151,626
1152,626
1153,626
1154,626
1155,626
1156,626
1157,626
1158,626
1159,626
1160,626
1161,626
1162,626
1163,626
1164,626
1165,626
1166,626
1167,626
1168,626
1169,626
1170,626
1171,626
1172,626
1173,626
1174,626
1175,626
1176,626
1177,626
1178,626
1179,626
1180,626
1181,626
1182,626
1183,626
1184,626
1185,626
1186,625
1187,625
1188,625
1189,625
1190,625
1191,625
1192,625
1193,625
1194,625
1195,625
1196,625
1197,625
1198,625
1199,625
1200,625
1201,625
1202,625
1203,625
1204,625
1205,625
1206,625
1207,625
1208,625
1209,625
1210,625
1211,625
1212,625
1213,625
1214,625
1215,625
1216,625
1217,625
1218,625
1219,625
1220,625
1221,625
1222,625
1223,625
1224,625
1225,625
1226,625
1227,625
1228,625
1229,625
1230,625
1231,625
1232,625
1233,625
1234,625
1235,625
1236,625
1237,625
1238,625
1239,625
1240,625
1241,625
1242,625
1243,625
1244,625
1245,625
1246,625
1247,625
1248,625
1249,625
1250,625
1251,624
1252,624
1253,624
1254,624
1255,624
1256,624
1257,624
1258,624
1259,624
1260,624
1261,624
1262,624
1263,624
1264,624
1265,624
1266,624
1267,624
1268,624
1269,624
1270,624
1271,624
1272,624
1273,624
1274,624
1275,624
1276,624
1277,624
1278,624
1279,624
1280,624
1281,624
1282,624
1283,624
1284,623
1285,623
1286,623
1287,623
1288,623
1289,623
1290,623
1291,623
1292,623
1293,623
1294,623
1295,623
1296,623
1297,623
1298,623
1299,623
1300,623
1301,623
1302,623
1303,623
1304,623
1305,623
1306,623
1307,623
1308,623
1309,623
1310,623
1311,623
1312,623
1313,623
1314,623
1315,623
1316,623
1317,623
1318,623
1319,623
1320,623
1321,623
1322,623
1323,623
1324,623
1325,623
1326,623
1327,623
1328,623
1329,623
1330,622
1331,622
1332,622
1333,622
1334,622
1335,622
1336,622
1337,622
1338,622
1339,622
1340,622
